"dose_log","pE_cond","pT","neutral","success","toxicity","scenario","dgp"
3.69,0.892751618783879,0.0154131662438918,0.105595344087049,0.878991489669059,0.0154131662438918,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
4.38,0.866840951095768,0.0585797811879269,0.125358620956229,0.816061597855844,0.0585797811879269,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
5.08,0.83562646400504,0.201491245095209,0.131253707566633,0.667255047338158,0.201491245095209,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
5.77,0.8,0.5007499994375,0.0998500001125,0.39940000045,0.5007499994375,"B","Misspecification 2: quadratic efficacy + logistic toxicity"
-1.2,0.00748159167273543,3.35144401399773e-14,0.992518408327231,0.00748159167273518,3.35144401399773e-14,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
-0.23,0.0219344120728478,1.18293793071988e-12,0.978065587925995,0.0219344120728218,1.18293793071988e-12,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
0.92,0.0755139886809762,8.08908824190847e-11,0.924486011244241,0.0755139886748678,8.08908824190847e-11,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
2.02,0.219510708946799,4.60317292648813e-09,0.780489287460474,0.219510707936353,4.60317292648813e-09,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
3,0.458346760632396,1.68555600455135e-07,0.541653148068917,0.458346683375482,1.68555600455135e-07,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
3.69,0.647612248676656,2.12669351085604e-06,0.3523870019026,0.647610871403889,2.12669351085604e-06,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
4.38,0.799651875273313,2.68322286175243e-05,0.200342748940001,0.799630418831381,2.68322286175243e-05,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
5.08,0.897607553066638,0.000351102917730751,0.10235649664649,0.897292400435779,0.000351102917730751,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
5.77,0.8,0.00441193593972671,0.199117612812055,0.796470451248219,0.00441193593972671,"C","Misspecification 2: quadratic efficacy + logistic toxicity"
-1.2,0.783638975211288,0.0475434708028913,0.206074470723786,0.746382058473323,0.0475434708028913,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
-0.23,0.80348977595651,0.140975660665205,0.168807065381491,0.690217273953303,0.140975660665205,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
0.92,0.825202406284879,0.402235289778733,0.104487832954494,0.493276877266773,0.402235289778733,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
2.02,0.84415839369459,0.721826543056909,0.0433509983615403,0.234822458581551,0.721826543056909,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
3,0.859603418668301,0.896228124618355,0.0145692165419621,0.089202658839683,0.896228124618355,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
3.69,0.86969333194108,0.952692800115866,0.00616444359209887,0.0411427562920353,0.952692800115866,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
4.38,0.879160047846198,0.979148552505242,0.00251968791760403,0.0183317595771537,0.979148552505242,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
5.08,0.888151792102262,0.991059295700843,0.00100000175320431,0.00794070254595264,0.991059295700843,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
5.77,0.896437195505519,0.996146029702615,0.000399127972435619,0.00345484232494937,0.996146029702615,"D","Misspecification 2: quadratic efficacy + logistic toxicity"
