"design","scenario","dgp","n_trials","mean_n_patients","expected_toxicities","sd_toxicities","expected_toxicity_rate_percent","expected_efficacies","sd_efficacies","expected_efficacy_rate_percent","expected_neutral","sd_neutral","expected_neutral_rate_percent"
"STEIN","D","Base case: logit/logit",1000,60,3.237,2.15487226407378,5.395,44.549,3.61478431800096,74.2483333333333,12.214,3.11285944011192,20.3566666666667
"STEIN","D","Misspecification 1: probit/probit",1000,60,0.141,0.459706787344205,0.235,54.051,2.27014372949216,90.085,5.808,2.21766860780732,9.68
"STEIN","D","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,3.237,2.15487226407378,5.395,44.549,3.61478431800096,74.2483333333333,12.214,3.11285944011192,20.3566666666667
"TEPI","A","Base case: logit/logit",1000,60,11.342,2.84096939566534,18.9033333333333,43.917,3.25833204688039,73.195,4.741,1.95082667726396,7.90166666666667
"TEPI","A","Misspecification 1: probit/probit",1000,60,11.301,2.82282967381445,18.835,46.406,3.12360703689195,77.3433333333333,2.293,1.31029304656167,3.82166666666667
"TEPI","A","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,11.82,2.98001350340573,19.7,41.578,4.20399685889388,69.2966666666667,6.602,2.4628564029723,11.0033333333333
"TEPI","B","Base case: logit/logit",1000,60,11.372,3.00077000461892,18.9533333333333,45.599,3.11928339990597,75.9983333333333,3.029,0.946072964445161,5.04833333333333
"TEPI","B","Misspecification 1: probit/probit",1000,60,13.051,2.57818658092196,21.7516666666667,43.934,2.68865633223602,73.2233333333333,3.015,0.676189494322584,5.025
"TEPI","B","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,13.022,2.66732649494407,21.7033333333333,38.166,3.67340957938778,63.61,8.812,2.32853560807605,14.6866666666667
"TEPI","C","Base case: logit/logit",1000,60,0.183,0.41675494560315,0.305,43.521,2.16846979717525,72.535,16.296,2.12200068022772,27.16
"TEPI","C","Misspecification 1: probit/probit",1000,60,0,0,0,45.475,1.35912553585834,75.7916666666667,14.525,1.35912553585834,24.2083333333333
"TEPI","C","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,0.183,0.41675494560315,0.305,38.142,2.93810627249398,63.57,21.675,2.90823534687838,36.125
"TEPI","D","Base case: logit/logit",1000,60,20.51,3.64680671261848,34.1833333333333,32.124,4.22616664182619,53.54,7.366,2.49364437365521,12.2766666666667
"TEPI","D","Misspecification 1: probit/probit",1000,60,19.151,3.31831436277671,31.9183333333333,38.108,3.66275193696649,63.5133333333333,2.741,1.61137069463098,4.56833333333333
"TEPI","D","Misspecification 2: quadratic efficacy + logistic toxicity",1000,60,20.51,3.64680671261848,34.1833333333333,32.124,4.22616664182619,53.54,7.366,2.49364437365521,12.2766666666667
